stage,units,sr,lr,input_scaling,alpha,acc,macro_f1,balanced_acc
stage1_coarse,500,0.8,0.05,0.02,0.01,0.534,0.4761431878635114,0.5014940936797483
stage1_coarse,500,0.8,0.05,0.02,0.1,0.5305,0.47271707509717864,0.49814397580786685
stage1_coarse,500,0.8,0.05,0.02,1.0,0.532,0.4819516252891642,0.5108701298185869
stage1_coarse,500,0.8,0.05,0.02,10.0,0.5225,0.475921759271584,0.5071578699618605
stage1_coarse,500,0.8,0.05,0.02,100.0,0.5315,0.4902514078826841,0.5293352095068039
stage1_coarse,500,0.8,0.05,0.05,1e-10,0.513,0.4656989586590482,0.4856141736098423
stage1_coarse,500,0.8,0.05,0.05,1e-09,0.513,0.4656989586590482,0.4856141736098423
stage1_coarse,500,0.8,0.05,0.05,1e-08,0.513,0.4656989586590482,0.4856141736098423
stage1_coarse,500,0.8,0.05,0.05,1e-07,0.513,0.4656989586590482,0.4856141736098423
stage1_coarse,500,0.8,0.05,0.05,1e-06,0.513,0.4656989586590482,0.4856141736098423
stage1_coarse,500,0.8,0.05,0.05,1e-05,0.513,0.4656989586590482,0.4856141736098423
stage1_coarse,500,0.8,0.05,0.05,0.0001,0.513,0.4656989586590482,0.4856141736098423
stage1_coarse,500,0.8,0.05,0.05,0.001,0.514,0.467230347878166,0.4872056523065842
stage1_coarse,500,0.8,0.05,0.05,0.01,0.5165,0.4701535200277919,0.48994238579126426
stage1_coarse,500,0.8,0.05,0.05,0.1,0.5245,0.47540571145547317,0.4964557832407281
stage1_coarse,500,0.8,0.05,0.05,1.0,0.53,0.48300232220222783,0.5082740983832169
stage1_coarse,500,0.8,0.05,0.05,10.0,0.5315,0.4879497091214901,0.5186667361816647
stage1_coarse,500,0.8,0.05,0.05,100.0,0.5345,0.4952758037656359,0.533656631272844
stage1_coarse,500,0.8,0.05,0.1,1e-10,0.5115,0.4625758022057712,0.47880530331494703
stage1_coarse,500,0.8,0.05,0.1,1e-09,0.5115,0.4625758022057712,0.47880530331494703
stage1_coarse,500,0.8,0.05,0.1,1e-08,0.5115,0.4625758022057712,0.47880530331494703
stage1_coarse,500,0.8,0.05,0.1,1e-07,0.5115,0.4625758022057712,0.47880530331494703
stage1_coarse,500,0.8,0.05,0.1,1e-06,0.5115,0.4625758022057712,0.47880530331494703
stage1_coarse,500,0.8,0.05,0.1,1e-05,0.5115,0.4625758022057712,0.47880530331494703
stage1_coarse,500,0.8,0.05,0.1,0.0001,0.5115,0.4625758022057712,0.47880530331494703
stage1_coarse,500,0.8,0.05,0.1,0.001,0.5115,0.46256569125135033,0.47880530331494703
stage1_coarse,500,0.8,0.05,0.1,0.01,0.512,0.46304218875677716,0.4788075926922364
stage1_coarse,500,0.8,0.05,0.1,0.1,0.5105,0.4647994858035013,0.48123996282862364
stage1_coarse,500,0.8,0.05,0.1,1.0,0.526,0.48270252746342923,0.499912427227328
stage1_coarse,500,0.8,0.05,0.1,10.0,0.533,0.48857204204552823,0.510984795829055
stage1_coarse,500,0.8,0.05,0.1,100.0,0.5415,0.5110861209879531,0.549051647985084
stage1_coarse,500,0.8,0.1,0.01,1e-10,0.5275,0.47932894488678557,0.5034957833262995
stage1_coarse,500,0.8,0.1,0.01,1e-09,0.5275,0.47932894488678557,0.5034957833262995
stage1_coarse,500,0.8,0.1,0.01,1e-08,0.5275,0.4793736101998368,0.5034957833262995
stage1_coarse,500,0.8,0.1,0.01,1e-07,0.528,0.4799415647242653,0.5038926087231248
stage1_coarse,500,0.8,0.1,0.01,1e-06,0.5275,0.4793700571054081,0.5034957833262995
stage1_coarse,500,0.8,0.1,0.01,1e-05,0.5285,0.4803293472337402,0.5041564609658689
stage1_coarse,500,0.8,0.1,0.01,0.0001,0.53,0.4804359050136995,0.5042552857929037
stage1_coarse,500,0.8,0.1,0.01,0.001,0.5315,0.47847152881924454,0.5035039382698313
stage1_coarse,500,0.8,0.1,0.01,0.01,0.5345,0.4807260034622335,0.5106497753333125
stage1_coarse,500,0.8,0.1,0.01,0.1,0.5215,0.4664451262838892,0.49685036240300995
stage1_coarse,500,0.8,0.1,0.01,1.0,0.5225,0.4769158243029028,0.5101890207559242
stage1_coarse,500,0.8,0.1,0.01,10.0,0.5345,0.49453463789539337,0.5306848950581312
stage1_coarse,500,0.8,0.1,0.01,100.0,0.536,0.4989217368699993,0.5407297284458363
stage1_coarse,500,0.8,0.1,0.02,1e-10,0.5315,0.48476194135555073,0.5087062538085749
stage1_coarse,500,0.8,0.1,0.02,1e-09,0.5315,0.48476194135555073,0.5087062538085749
stage1_coarse,500,0.8,0.1,0.02,1e-08,0.5315,0.48476194135555073,0.5087062538085749
stage1_coarse,500,0.8,0.1,0.02,1e-07,0.531,0.4841398542392382,0.5079919680942891
stage1_coarse,500,0.8,0.1,0.02,1e-06,0.532,0.48502906502466053,0.5089701060513189
stage1_coarse,500,0.8,0.1,0.02,1e-05,0.5315,0.4846387470532301,0.5087062538085749
stage1_coarse,500,0.8,0.1,0.02,0.0001,0.5315,0.48513899370022984,0.5093302890848159
stage1_coarse,500,0.8,0.1,0.02,0.001,0.536,0.4909645074121743,0.5158199662871455
stage1_coarse,500,0.8,0.1,0.02,0.01,0.538,0.48975313460273673,0.5170605399530894
stage1_coarse,500,0.8,0.1,0.02,0.1,0.5325,0.4822415318464991,0.5118558453926578
