stage,units,sr,lr,input_scaling,alpha,acc,macro_f1,balanced_acc
stage2_size,200,0.8,0.1,0.1,1e-09,0.5175,0.48686678939131767,0.5292398580672028
stage2_size,200,0.8,0.1,0.1,1e-08,0.5175,0.48686678939131767,0.5292398580672028
stage2_size,200,0.8,0.1,0.1,1e-07,0.5175,0.48686678939131767,0.5292398580672028
stage2_size,200,0.8,0.1,0.1,1e-06,0.5175,0.48686678939131767,0.5292398580672028
stage2_size,200,0.8,0.1,0.1,1e-05,0.5175,0.48686678939131767,0.5292398580672028
stage2_size,200,0.8,0.1,0.1,0.0001,0.5175,0.48686678939131767,0.5292398580672028
stage2_size,200,0.8,0.1,0.1,0.001,0.5175,0.48686678939131767,0.5292398580672028
stage2_size,200,0.8,0.1,0.1,0.01,0.5175,0.48691177145258796,0.5292398580672028
stage2_size,200,0.8,0.1,0.1,0.1,0.517,0.4863430173404176,0.5285191058661873
stage2_size,200,0.8,0.1,0.1,1.0,0.519,0.48807619344010356,0.5315774342797092
stage2_size,200,0.8,0.1,0.1,10.0,0.52,0.48625101900484535,0.5277911272801481
stage2_size,200,0.8,0.1,0.1,100.0,0.523,0.4886080458944134,0.5403855111560076
stage2_size,500,0.8,0.1,0.1,1e-10,0.54,0.49218382691024026,0.5156449791465787
stage2_size,500,0.8,0.1,0.1,1e-09,0.54,0.49218382691024026,0.5156449791465787
stage2_size,500,0.8,0.1,0.1,1e-08,0.54,0.49218382691024026,0.5156449791465787
stage2_size,500,0.8,0.1,0.1,1e-07,0.54,0.49218382691024026,0.5156449791465787
stage2_size,500,0.8,0.1,0.1,1e-06,0.54,0.49218382691024026,0.5156449791465787
stage2_size,500,0.8,0.1,0.1,1e-05,0.54,0.49218382691024026,0.5156449791465787
stage2_size,500,0.8,0.1,0.1,0.0001,0.54,0.49218382691024026,0.5156449791465787
stage2_size,500,0.8,0.1,0.1,0.001,0.54,0.49218382691024026,0.5156449791465787
stage2_size,500,0.8,0.1,0.1,0.01,0.541,0.4928331846874074,0.5162137094381033
stage2_size,500,0.8,0.1,0.1,0.1,0.5425,0.49947644109757033,0.522897324709845
stage2_size,500,0.8,0.1,0.1,1.0,0.547,0.5114734274975574,0.5343658178926163
stage2_size,500,0.8,0.1,0.1,10.0,0.5575,0.5222987541278848,0.5466443337628467
stage2_size,500,0.8,0.1,0.1,100.0,0.5465,0.5101764959905796,0.5448955708490318
stage2_size,700,0.8,0.1,0.1,1e-10,0.479,0.42507443121257615,0.4295101462855079
stage2_size,700,0.8,0.1,0.1,1e-09,0.479,0.42507443121257615,0.4295101462855079
stage2_size,700,0.8,0.1,0.1,1e-08,0.479,0.42507443121257615,0.4295101462855079
stage2_size,700,0.8,0.1,0.1,1e-07,0.479,0.42507443121257615,0.4295101462855079
stage2_size,700,0.8,0.1,0.1,1e-06,0.479,0.42507443121257615,0.4295101462855079
stage2_size,700,0.8,0.1,0.1,1e-05,0.479,0.42507443121257615,0.4295101462855079
stage2_size,700,0.8,0.1,0.1,0.0001,0.479,0.42507443121257615,0.4295101462855079
stage2_size,700,0.8,0.1,0.1,0.001,0.4805,0.42740766830367666,0.43140650303103023
stage2_size,700,0.8,0.1,0.1,0.01,0.4835,0.4306444133468421,0.43517023782533304
stage2_size,700,0.8,0.1,0.1,0.1,0.495,0.44340572836150755,0.4501616077607122
stage2_size,700,0.8,0.1,0.1,1.0,0.5355,0.48545447626148375,0.5024061434421461
stage2_size,700,0.8,0.1,0.1,10.0,0.5725,0.5290072877441395,0.5568366563520427
stage2_size,700,0.8,0.1,0.1,100.0,0.5945,0.5600656069488427,0.5994508465156121
stage2_size,1000,0.8,0.1,0.1,1e-10,0.366,0.3168997451658631,0.3189210363599745
stage2_size,1000,0.8,0.1,0.1,1e-09,0.366,0.3168997451658631,0.3189210363599745
stage2_size,1000,0.8,0.1,0.1,1e-08,0.366,0.3168997451658631,0.3189210363599745
stage2_size,1000,0.8,0.1,0.1,1e-07,0.366,0.3168997451658631,0.3189210363599745
stage2_size,1000,0.8,0.1,0.1,1e-06,0.366,0.3168997451658631,0.3189210363599745
stage2_size,1000,0.8,0.1,0.1,1e-05,0.366,0.3168997451658631,0.3189210363599745
stage2_size,1000,0.8,0.1,0.1,0.0001,0.3665,0.31733858057869974,0.3193178617567999
stage2_size,1000,0.8,0.1,0.1,0.001,0.3675,0.31878423299999376,0.32151343175945424
stage2_size,1000,0.8,0.1,0.1,0.01,0.392,0.3424066128619172,0.3445399490162365
stage2_size,1000,0.8,0.1,0.1,0.1,0.461,0.41067923676389817,0.41359698433369496
