stage,units,sr,lr,input_scaling,alpha,acc,macro_f1,balanced_acc
stage1_boundary,500,0.7,0.1,0.5,0.0001,0.5045,0.4498168482643522,0.4652963784600789
stage1_boundary,500,0.7,0.1,0.5,0.001,0.5045,0.4498168482643522,0.4652963784600789
stage1_boundary,500,0.7,0.1,0.5,0.01,0.5045,0.4498419397674168,0.4652963784600789
stage1_boundary,500,0.7,0.1,0.5,0.1,0.5055,0.4504904341359435,0.466170349750442
stage1_boundary,500,0.7,0.1,0.5,1.0,0.514,0.46210080049790137,0.4774535412721278
stage1_boundary,500,0.7,0.1,0.5,10.0,0.529,0.48222672376705233,0.49766300851462797
stage1_boundary,500,0.7,0.1,0.5,100.0,0.5375,0.506320844275689,0.5357693157344189
stage1_boundary,500,0.95,0.1,0.2,1e-10,0.5175,0.4830560705234365,0.49453507540734687
stage1_boundary,500,0.95,0.1,0.2,1e-09,0.5175,0.4830560705234365,0.49453507540734687
stage1_boundary,500,0.95,0.1,0.2,1e-08,0.5175,0.4830560705234365,0.49453507540734687
stage1_boundary,500,0.95,0.1,0.2,1e-07,0.5175,0.4830560705234365,0.49453507540734687
stage1_boundary,500,0.95,0.1,0.2,1e-06,0.5175,0.4830560705234365,0.49453507540734687
stage1_boundary,500,0.95,0.1,0.2,1e-05,0.5175,0.4830560705234365,0.49453507540734687
stage1_boundary,500,0.95,0.1,0.2,0.0001,0.5175,0.4830560705234365,0.49453507540734687
stage1_boundary,500,0.95,0.1,0.2,0.001,0.5175,0.4830560705234365,0.49453507540734687
stage1_boundary,500,0.95,0.1,0.2,0.01,0.517,0.4830014360796608,0.4942946907919623
stage1_boundary,500,0.95,0.1,0.2,0.1,0.521,0.49126106007082937,0.502022305377513
stage1_boundary,500,0.95,0.1,0.2,1.0,0.527,0.49899139830795775,0.5107644890837932
stage1_boundary,500,0.95,0.1,0.2,10.0,0.5375,0.5045909594737124,0.5220564303091353
stage1_boundary,500,0.95,0.1,0.2,100.0,0.546,0.5155944863348634,0.5473258078310593
stage1_boundary,500,0.95,0.1,0.3,1e-10,0.517,0.4797336599031666,0.49045715560776354
stage1_boundary,500,0.95,0.1,0.3,1e-09,0.517,0.4797336599031666,0.49045715560776354
stage1_boundary,500,0.95,0.1,0.3,1e-08,0.517,0.4797336599031666,0.49045715560776354
stage1_boundary,500,0.95,0.1,0.3,1e-07,0.517,0.4797336599031666,0.49045715560776354
stage1_boundary,500,0.95,0.1,0.3,1e-06,0.517,0.4797336599031666,0.49045715560776354
stage1_boundary,500,0.95,0.1,0.3,1e-05,0.517,0.4797336599031666,0.49045715560776354
stage1_boundary,500,0.95,0.1,0.3,0.0001,0.517,0.4797336599031666,0.49045715560776354
stage1_boundary,500,0.95,0.1,0.3,0.001,0.5165,0.47921470828494,0.4902167709923789
stage1_boundary,500,0.95,0.1,0.3,0.01,0.5165,0.47921470828494,0.4902167709923789
stage1_boundary,500,0.95,0.1,0.3,0.1,0.5185,0.4823072659505721,0.4935332160799321
stage1_boundary,500,0.95,0.1,0.3,1.0,0.523,0.48924281850305607,0.5001811320035473
stage1_boundary,500,0.95,0.1,0.3,10.0,0.537,0.5084216082431875,0.5213050392947943
stage1_boundary,500,0.95,0.1,0.3,100.0,0.54,0.5162190699925886,0.5413407147043836
stage1_boundary,500,0.95,0.1,0.5,1e-10,0.5105,0.46284314080928696,0.47612127748572897
stage1_boundary,500,0.95,0.1,0.5,1e-09,0.5105,0.46284314080928696,0.47612127748572897
stage1_boundary,500,0.95,0.1,0.5,1e-08,0.5105,0.46284314080928696,0.47612127748572897
stage1_boundary,500,0.95,0.1,0.5,1e-07,0.5105,0.46284314080928696,0.47612127748572897
stage1_boundary,500,0.95,0.1,0.5,1e-06,0.5105,0.46284314080928696,0.47612127748572897
stage1_boundary,500,0.95,0.1,0.5,1e-05,0.5105,0.46284314080928696,0.47612127748572897
stage1_boundary,500,0.95,0.1,0.5,0.0001,0.5105,0.46284314080928696,0.47612127748572897
stage1_boundary,500,0.95,0.1,0.5,0.001,0.5105,0.46284314080928696,0.47612127748572897
stage1_boundary,500,0.95,0.1,0.5,0.01,0.5115,0.4646726479132749,0.4779476297284731
stage1_boundary,500,0.95,0.1,0.5,0.1,0.5105,0.4637500058897898,0.476836518617362
stage1_boundary,500,0.95,0.1,0.5,1.0,0.515,0.46969838615059095,0.48222191247472557
stage1_boundary,500,0.95,0.1,0.5,10.0,0.534,0.49226040370211893,0.503296834258801
stage1_boundary,500,0.95,0.1,0.5,100.0,0.544,0.5145443024842549,0.5400716182433491
stage1_boundary,500,0.99,0.05,0.2,1e-10,0.5115,0.4657254184570661,0.48141142748502713
stage1_boundary,500,0.99,0.05,0.2,1e-09,0.5115,0.4657254184570661,0.48141142748502713
stage1_boundary,500,0.99,0.05,0.2,1e-08,0.5115,0.4657254184570661,0.48141142748502713
stage1_boundary,500,0.99,0.05,0.2,1e-07,0.5115,0.4657254184570661,0.48141142748502713
stage1_boundary,500,0.99,0.05,0.2,1e-06,0.5115,0.4657254184570661,0.48141142748502713
stage1_boundary,500,0.99,0.05,0.2,1e-05,0.5115,0.4657254184570661,0.48141142748502713
stage1_boundary,500,0.99,0.05,0.2,0.0001,0.5115,0.4657254184570661,0.48141142748502713
stage1_boundary,500,0.99,0.05,0.2,0.001,0.5115,0.4657254184570661,0.48141142748502713
stage1_boundary,500,0.99,0.05,0.2,0.01,0.513,0.46823702118706495,0.48425831455066415
stage1_boundary,500,0.99,0.05,0.2,0.1,0.515,0.4721273946220069,0.48857593574328534
stage1_boundary,500,0.99,0.05,0.2,1.0,0.535,0.49576172497870763,0.5106955156622907
stage1_boundary,500,0.99,0.05,0.2,10.0,0.5595,0.525885795989171,0.5483612031157373
stage1_boundary,500,0.99,0.05,0.2,100.0,0.5465,0.5229464424071859,0.5664074564864434
stage1_boundary,500,0.99,0.05,0.3,1e-10,0.514,0.47071762793980215,0.4842310807564553
stage1_boundary,500,0.99,0.05,0.3,1e-09,0.514,0.47071762793980215,0.4842310807564553
stage1_boundary,500,0.99,0.05,0.3,1e-08,0.514,0.47071762793980215,0.4842310807564553
stage1_boundary,500,0.99,0.05,0.3,1e-07,0.514,0.47071762793980215,0.4842310807564553
stage1_boundary,500,0.99,0.05,0.3,1e-06,0.514,0.47071762793980215,0.4842310807564553
stage1_boundary,500,0.99,0.05,0.3,1e-05,0.514,0.47071762793980215,0.4842310807564553
stage1_boundary,500,0.99,0.05,0.3,0.0001,0.514,0.47071762793980215,0.4842310807564553
stage1_boundary,500,0.99,0.05,0.3,0.001,0.514,0.47071762793980215,0.4842310807564553
stage1_boundary,500,0.99,0.05,0.3,0.01,0.514,0.4707152804193262,0.4842310807564553
stage1_boundary,500,0.99,0.05,0.3,0.1,0.5175,0.4722707788255766,0.4852505842065368
stage1_boundary,500,0.99,0.05,0.3,1.0,0.527,0.48122490901833614,0.4960143239850094
stage1_boundary,500,0.99,0.05,0.3,10.0,0.5425,0.5072352239089921,0.5284397735761035
stage1_boundary,500,0.99,0.05,0.3,100.0,0.5445,0.5258640109367476,0.5690326314423456
stage1_boundary,500,0.99,0.05,0.5,1e-10,0.509,0.455067551339734,0.46994304190811975
stage1_boundary,500,0.99,0.05,0.5,1e-09,0.509,0.455067551339734,0.46994304190811975
stage1_boundary,500,0.99,0.05,0.5,1e-08,0.509,0.455067551339734,0.46994304190811975
stage1_boundary,500,0.99,0.05,0.5,1e-07,0.509,0.455067551339734,0.46994304190811975
stage1_boundary,500,0.99,0.05,0.5,1e-06,0.509,0.455067551339734,0.46994304190811975
stage1_boundary,500,0.99,0.05,0.5,1e-05,0.509,0.455067551339734,0.46994304190811975
stage1_boundary,500,0.99,0.05,0.5,0.0001,0.509,0.455067551339734,0.46994304190811975
stage1_boundary,500,0.99,0.05,0.5,0.001,0.509,0.455067551339734,0.46994304190811975
stage1_boundary,500,0.99,0.05,0.5,0.01,0.509,0.455067551339734,0.46994304190811975
stage1_boundary,500,0.99,0.05,0.5,0.1,0.5095,0.4556645162722985,0.47079030077648687
stage1_boundary,500,0.99,0.05,0.5,1.0,0.5115,0.45669158047158626,0.4730110075637379
stage1_boundary,500,0.99,0.05,0.5,10.0,0.53,0.4837099079862618,0.5026876475289721
stage1_boundary,500,0.99,0.05,0.5,100.0,0.548,0.5208415441897934,0.5578801987745708
